t	angle	cycles
14.100000000	-0.041680000	9
14.100000000	0.033955000	9
14.100000000	0.133713000	9
14.100000000	0.229722000	9
14.200000000	0.321576000	9
14.200000000	0.414636000	9
14.200000000	0.508172000	9
14.200000000	0.589745000	9
14.200000000	0.672864000	9
14.200000000	0.745309000	9
14.300000000	0.806210000	9
14.300000000	0.859111000	9
14.300000000	0.898599000	9
14.300000000	0.935216000	9
14.300000000	0.960840000	9
14.300000000	0.978563000	9
14.400000000	0.991340000	9
14.400000000	0.997789000	9
14.400000000	0.999398000	9
14.400000000	0.999989000	9
14.400000000	0.996767000	9
14.400000000	0.999780000	9
14.500000000	0.997471000	9
14.500000000	0.983335000	9
14.500000000	0.985030000	9
14.500000000	0.976122000	9
14.500000000	0.982095000	9
14.600000000	0.976522000	9
14.600000000	0.976677000	9
14.600000000	0.985039000	9
14.600000000	0.982530000	9
14.600000000	0.983192000	9
14.600000000	0.985739000	9
14.700000000	0.991609000	9
14.700000000	0.999795000	9
14.700000000	0.999928000	9
14.700000000	0.999786000	9
14.700000000	0.999701000	9
14.700000000	0.995330000	9
14.800000000	0.986500000	9
14.800000000	0.972771000	9
14.800000000	0.949986000	9
14.800000000	0.919751000	9
14.800000000	0.883621000	9
14.800000000	0.836934000	9
14.900000000	0.783793000	9
14.900000000	0.717611000	9
14.900000000	0.644056000	9
14.900000000	0.560103000	9
14.900000000	0.472362000	9
14.900000000	0.384002000	9
15.000000000	0.285114000	10
15.000000000	0.188722000	10
15.000000000	0.102511000	10
15.000000000	0.006668000	10
15.000000000	-0.089850000	10
15.000000000	-0.157240000	10
15.100000000	-0.253300000	10
15.100000000	-0.322490000	10
15.100000000	-0.385990000	10
15.100000000	-0.443760000	10
15.100000000	-0.485200000	10
15.100000000	-0.529870000	10
15.200000000	-0.560160000	10
15.200000000	-0.589010000	10
15.200000000	-0.607710000	10
15.200000000	-0.619230000	10
15.200000000	-0.638130000	10
15.200000000	-0.641400000	10
15.300000000	-0.647550000	10
15.300000000	-0.644530000	10
15.300000000	-0.635350000	10
15.300000000	-0.624700000	10
15.300000000	-0.604600000	10
15.300000000	-0.582760000	10
15.400000000	-0.554760000	10
15.400000000	-0.522650000	10
15.400000000	-0.482440000	10
15.400000000	-0.440910000	10
15.400000000	-0.390590000	10
15.400000000	-0.327430000	10
15.500000000	-0.261150000	10
15.500000000	-0.183640000	10
15.500000000	-0.101810000	10
15.500000000	-0.015830000	10
15.500000000	0.063377000	10
15.500000000	0.160787000	10
15.600000000	0.245669000	10
15.600000000	0.333826000	10
15.600000000	0.433594000	10
15.600000000	0.522175000	10
15.600000000	0.606028000	10
15.600000000	0.679457000	10
15.700000000	0.753117000	10
15.700000000	0.809590000	10
15.700000000	0.861913000	10
15.700000000	0.902408000	10
15.700000000	0.933713000	10
15.700000000	0.958823000	10
15.800000000	0.989576000	10
15.800000000	0.989986000	10
15.800000000	0.996456000	10
15.800000000	0.999358000	10
15.800000000	0.999995000	10
15.800000000	0.999697000	10
15.900000000	0.999897000	10
15.900000000	0.996275000	10
15.900000000	0.994583000	10
15.900000000	0.991623000	10
15.900000000	0.984766000	10
15.900000000	0.980422000	10
16.000000000	0.982875000	10
16.000000000	0.978166000	10
16.000000000	0.982167000	10
16.000000000	0.981812000	10
16.000000000	0.985282000	10
16.000000000	0.986291000	10
16.100000000	0.992274000	10
16.100000000	0.995296000	10
16.100000000	0.997787000	10
16.100000000	0.999791000	10
16.100000000	0.999643000	10
16.100000000	0.997470000	10
16.200000000	0.991480000	10
16.200000000	0.982530000	10
16.200000000	0.965574000	10
16.200000000	0.937900000	10
16.200000000	0.906915000	10
16.200000000	0.868596000	10
16.300000000	0.822838000	10
16.300000000	0.766391000	10
16.300000000	0.701803000	10
16.300000000	0.627648000	10
16.300000000	0.549022000	10
16.300000000	0.460811000	10
16.400000000	0.373832000	11
16.400000000	0.282060000	11
16.400000000	0.188891000	11
16.400000000	0.094666000	11
16.400000000	-0.005290000	11
16.400000000	-0.094640000	11
16.500000000	-0.179040000	11
16.500000000	-0.254940000	11
16.500000000	-0.320790000	11
16.500000000	-0.377820000	11
16.500000000	-0.433980000	11
16.500000000	-0.478710000	11
16.600000000	-0.516400000	11
16.600000000	-0.548840000	11
16.600000000	-0.572830000	11
16.600000000	-0.594060000	11
16.600000000	-0.610370000	11
16.600000000	-0.622280000	11
16.700000000	-0.628930000	11
16.700000000	-0.629180000	11
16.700000000	-0.624420000	11
16.700000000	-0.613550000	11
16.700000000	-0.601300000	11
16.700000000	-0.580630000	11
16.800000000	-0.554260000	11
16.800000000	-0.526080000	11
16.800000000	-0.493750000	11
16.800000000	-0.453440000	11
16.800000000	-0.406450000	11
16.800000000	-0.355190000	11
16.900000000	-0.294260000	11
16.900000000	-0.225320000	11
16.900000000	-0.148780000	11
16.900000000	-0.069020000	11
16.900000000	0.014660000	11
16.900000000	0.106314000	11
17.000000000	0.202988000	11
17.000000000	0.283093000	11
17.000000000	0.370195000	11
17.000000000	0.454080000	11
17.000000000	0.542904000	11
17.000000000	0.629368000	11
17.100000000	0.701093000	11
17.100000000	0.764392000	11
17.100000000	0.812233000	11
17.100000000	0.866544000	11
17.100000000	0.905800000	11
17.100000000	0.936243000	11
17.200000000	0.960068000	11
17.200000000	0.977455000	11
17.200000000	0.996432000	11
17.200000000	0.999807000	11
17.300000000	0.977852000	11
17.300000000	0.999849000	11
17.300000000	0.991266000	11
17.300000000	0.991266000	11
17.400000000	0.986306000	11
17.400000000	0.990014000	11
17.400000000	0.989685000	11
17.400000000	0.990625000	11
17.400000000	0.989820000	11
17.400000000	0.989376000	11
17.500000000	0.989972000	11
17.500000000	0.994331000	11
17.500000000	0.997391000	11
17.500000000	0.998516000	11
17.500000000	0.999967000	11
17.500000000	0.998490000	11
17.600000000	0.990572000	11
17.600000000	0.985114000	11
17.600000000	0.971315000	11
17.600000000	0.949591000	11
17.600000000	0.922524000	11
17.600000000	0.891668000	11
17.700000000	0.845309000	11
17.700000000	0.798922000	11
17.700000000	0.738426000	11
17.700000000	0.679288000	11
17.700000000	0.596623000	11
17.700000000	0.517299000	11
17.800000000	0.436834000	12
17.800000000	0.340247000	12
17.800000000	0.252926000	12
17.800000000	0.160348000	12
17.800000000	0.071453000	12
17.800000000	-0.016360000	12
17.900000000	-0.109250000	12
17.900000000	-0.185340000	12
17.900000000	-0.256890000	12
17.900000000	-0.323240000	12
17.900000000	-0.379150000	12
17.900000000	-0.427590000	12
18.000000000	-0.470800000	12
18.000000000	-0.506000000	12
18.000000000	-0.534320000	12
18.000000000	-0.555570000	12
18.000000000	-0.571500000	12
18.000000000	-0.587790000	12
18.100000000	-0.589810000	12
18.100000000	-0.603970000	12
18.100000000	-0.593540000	12
18.100000000	-0.582990000	12
18.100000000	-0.567340000	12
18.100000000	-0.555960000	12
18.200000000	-0.526640000	12
18.200000000	-0.502900000	12
18.200000000	-0.480900000	12
18.200000000	-0.449410000	12
18.200000000	-0.401980000	12
18.200000000	-0.354050000	12
18.300000000	-0.298490000	12
18.300000000	-0.233910000	12
18.300000000	-0.159800000	12
18.300000000	-0.081180000	12
18.300000000	-0.006240000	12
18.300000000	0.073514000	12
18.400000000	0.155301000	12
18.400000000	0.238797000	12
18.400000000	0.328200000	12
